Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides AutoTP2R1	Peptides AutoTP2R2	Peptides AutoTP2R3	Peptides HeteTP4R1	Peptides HeteTP4R2	Peptides HeteTP4R3	Peptides MixoTP4R1	Peptides MixoTP4R2	Peptides MixoTP4R3	Razor + unique peptides AutoTP2R1	Razor + unique peptides AutoTP2R2	Razor + unique peptides AutoTP2R3	Razor + unique peptides HeteTP4R1	Razor + unique peptides HeteTP4R2	Razor + unique peptides HeteTP4R3	Razor + unique peptides MixoTP4R1	Razor + unique peptides MixoTP4R2	Razor + unique peptides MixoTP4R3	Unique peptides AutoTP2R1	Unique peptides AutoTP2R2	Unique peptides AutoTP2R3	Unique peptides HeteTP4R1	Unique peptides HeteTP4R2	Unique peptides HeteTP4R3	Unique peptides MixoTP4R1	Unique peptides MixoTP4R2	Unique peptides MixoTP4R3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type AutoTP2R1	Identification type AutoTP2R2	Identification type AutoTP2R3	Identification type HeteTP4R1	Identification type HeteTP4R2	Identification type HeteTP4R3	Identification type MixoTP4R1	Identification type MixoTP4R2	Identification type MixoTP4R3	Sequence coverage AutoTP2R1 [%]	Sequence coverage AutoTP2R2 [%]	Sequence coverage AutoTP2R3 [%]	Sequence coverage HeteTP4R1 [%]	Sequence coverage HeteTP4R2 [%]	Sequence coverage HeteTP4R3 [%]	Sequence coverage MixoTP4R1 [%]	Sequence coverage MixoTP4R2 [%]	Sequence coverage MixoTP4R3 [%]	Intensity	Intensity AutoTP2R1	Intensity AutoTP2R2	Intensity AutoTP2R3	Intensity HeteTP4R1	Intensity HeteTP4R2	Intensity HeteTP4R3	Intensity MixoTP4R1	Intensity MixoTP4R2	Intensity MixoTP4R3	LFQ intensity AutoTP2R1	LFQ intensity AutoTP2R2	LFQ intensity AutoTP2R3	LFQ intensity HeteTP4R1	LFQ intensity HeteTP4R2	LFQ intensity HeteTP4R3	LFQ intensity MixoTP4R1	LFQ intensity MixoTP4R2	LFQ intensity MixoTP4R3	MS/MS count AutoTP2R1	MS/MS count AutoTP2R2	MS/MS count AutoTP2R3	MS/MS count HeteTP4R1	MS/MS count HeteTP4R2	MS/MS count HeteTP4R3	MS/MS count MixoTP4R1	MS/MS count MixoTP4R2	MS/MS count MixoTP4R3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__Q6IFX2	CON__Q6IFX2	5	1	1		1	5	1	1	4	3	3	2	2	3	3	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	13.3	4.6	4.6	50.133	452	452	1	1	0	5.4262	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	8.6	6.2	6.2	3.5	4	9.1	6	6	6	43168	0	0	0	0	0	43168	0	0	0	0	0	0	0	0	25834	0	0	0	0	0	0	0	0	0	0	0	0	0			+	10	282;884;1766;3106;3354	False;True;False;False;False	295;936;1885;3345;3607	1905;1906;1907;6196;12586;12587;12588;12589;12590;12591;12592;12593;22350;22351;22352;22353;22354;22355;24061;24062;24063;24064;24065;24066;24067;24068	723;2200;4470;7923;8584;8585	723;2200;4470;7923;8585		
g10015.t1	g10015.t1	2	2	2		1	2	2	2	2	1	2	1	0	1	1	1	1	2	1	2	1	0	1	1	1	1	2	1	2	1	0	1	1	1	1	8.4	8.4	8.4	44.733	428	428	1	10	0	13.583	By matching	By matching	By MS/MS	By matching		By matching	By matching	By MS/MS	By MS/MS	8.4	2.1	8.4	6.3	0	2.1	6.3	2.1	2.1	2113000	302490	61494	553830	120280	0	340780	270760	278570	184740	0	0	1366100	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3				11	8;1866	True;True	8;1990	48;49;50;51;13189;13190;13191;13192;13193;13194	22;4679;4680	22;4679		
g10033.t1	g10033.t1	3	3	3		1	3	3	3	1	2	0	1	1	2	3	3	1	1	2	0	1	1	2	3	3	1	1	2	0	1	1	2	3	3	1	13.5	13.5	13.5	29.597	266	266	1	14	0	28.581	By matching	By matching		By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.5	8.3	0	5.3	3.8	9.8	13.5	13.5	5.3	11215000	143920	166000	0	1428200	772350	1446500	2748000	4009800	500080	0	842880	0	0	0	1076900	1446700	2097900	0	0	0	0	0	0	1	1	3	1	6				12	352;1991;3133	True;True;True	374;2125;3373	2421;2422;2423;2424;2425;14118;14119;14120;14121;14122;22521;22522;22523;22524	893;5039;5040;5041;5042;7985	893;5039;7985		
g10079.t1	g10079.t1	14	14	8		1	14	14	8	13	13	10	6	10	13	13	14	11	13	13	10	6	10	13	13	14	11	7	8	6	2	6	7	8	8	7	86.2	86.2	53.6	15.827	138	138	1	152	0	112.68	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	86.2	86.2	81.9	50	84.8	86.2	86.2	86.2	84.8	1689200000	329700000	238050000	42172000	77280000	164820000	226340000	236260000	241640000	132950000	386920000	184340000	65432000	71119000	85724000	112870000	190220000	135590000	140210000	14	12	7	3	8	6	19	11	4	84				13	169;724;1295;1296;2035;2066;2067;2214;2284;2574;2579;2580;2581;2599	True;True;True;True;True;True;True;True;True;True;True;True;True;True	173;765;1380;1381;1382;2174;2175;2206;2207;2369;2370;2466;2467;2784;2789;2790;2791;2810	1117;1118;1119;1120;1121;1122;1123;5035;5036;5037;5038;5039;5040;5041;9197;9198;9199;9200;9201;9202;9203;9204;9205;9206;9207;9208;9209;9210;9211;9212;9213;9214;9215;9216;9217;9218;14424;14425;14426;14427;14428;14429;14430;14431;14432;14433;14434;14435;14436;14437;14438;14439;14440;14441;14664;14665;14666;14667;14668;14669;14670;14671;14672;14673;15770;15771;15772;15773;15774;15775;15776;15777;15778;15779;15780;15781;15782;15783;15784;15785;15786;15787;15788;15789;15790;15791;15792;15793;15794;15795;15796;15797;15798;15799;16405;16406;16407;16408;16409;16410;16411;16412;16413;16414;16415;16416;16417;16418;16419;16420;16421;16422;16423;18570;18571;18572;18573;18574;18575;18576;18577;18620;18621;18622;18623;18624;18625;18626;18627;18628;18629;18630;18631;18632;18633;18634;18635;18636;18637;18638;18639;18640;18641;18642;18787;18788;18789;18790;18791;18792;18793;18794	395;396;397;398;399;400;401;402;1784;1785;1786;1787;1788;1789;1790;1791;1792;1793;3312;3313;3314;3315;3316;3317;5148;5149;5150;5151;5152;5153;5154;5155;5156;5157;5158;5159;5160;5161;5162;5163;5164;5226;5227;5599;5600;5601;5602;5603;5604;5605;5606;5607;5608;5609;5610;5611;5612;5613;5614;5615;5803;5804;5805;5806;5807;5808;5809;5810;5811;5812;5813;5814;5815;6536;6537;6552;6553;6554;6597;6598;6599;6600;6601;6602;6603	396;1789;3312;3315;5164;5226;5227;5599;5805;6537;6552;6553;6554;6601	9;10;11;12	8;73;78;105
g10080.t1	g10080.t1	9	3	3		1	9	3	3	9	8	7	6	6	9	8	9	7	3	3	3	2	2	3	3	3	3	3	3	3	2	2	3	3	3	3	58	23.7	23.7	14.892	131	131	1	32	0	24.993	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	58	58	53.4	46.6	50.4	58	58	58	56.5	70381000	16315000	9672400	2616700	3227800	6512800	7835300	6804300	10255000	7141600	0	13051000	0	2912200	4732200	4771800	5875000	0	5261800	2	2	0	1	1	2	1	1	1	11				14	595;1295;1296;1680;2034;2066;2067;2214;2284	True;False;False;True;True;False;False;False;False	628;1380;1381;1382;1796;2172;2173;2206;2207;2369;2370;2466;2467	4088;4089;4090;4091;4092;4093;4094;4095;9197;9198;9199;9200;9201;9202;9203;9204;9205;9206;9207;9208;9209;9210;9211;9212;9213;9214;9215;9216;9217;9218;12010;12011;12012;12013;12014;12015;12016;12017;14408;14409;14410;14411;14412;14413;14414;14415;14416;14417;14418;14419;14420;14421;14422;14423;14664;14665;14666;14667;14668;14669;14670;14671;14672;14673;15770;15771;15772;15773;15774;15775;15776;15777;15778;15779;15780;15781;15782;15783;15784;15785;15786;15787;15788;15789;15790;15791;15792;15793;15794;15795;15796;15797;15798;15799;16405;16406;16407;16408;16409;16410;16411;16412;16413;16414;16415;16416;16417;16418;16419;16420;16421;16422;16423	1464;1465;3312;3313;3314;3315;3316;3317;4290;4291;5140;5141;5142;5143;5144;5145;5146;5147;5226;5227;5599;5600;5601;5602;5603;5604;5605;5606;5607;5608;5609;5610;5611;5612;5613;5614;5615;5803;5804;5805;5806;5807;5808;5809;5810;5811;5812;5813;5814;5815	1464;3312;3315;4290;5146;5226;5227;5599;5805	9;11;12;13	1;66;71;98
g10099.t1	g10099.t1	4	4	4		1	4	4	4	3	3	0	0	2	2	3	3	3	3	3	0	0	2	2	3	3	3	3	3	0	0	2	2	3	3	3	11.1	11.1	11.1	63.751	597	597	1	19	0	25.759	By MS/MS	By matching			By matching	By matching	By MS/MS	By MS/MS	By matching	8	8	0	0	5.4	4.2	8.7	8	8.7	5338300	671630	414350	0	0	348910	497260	1322000	1197800	886360	687130	0	0	0	0	0	0	702980	0	1	0	0	0	0	0	1	1	0	3				15	135;217;1455;3658	True;True;True;True	137;225;1550;3932	907;908;909;910;911;1438;1439;1440;1441;1442;10283;10284;10285;26292;26293;26294;26295;26296;26297	329;556;3673;9402	329;556;3673;9402		
g10108.t1	g10108.t1	3	3	3		1	3	3	3	2	2	3	3	1	1	2	0	0	2	2	3	3	1	1	2	0	0	2	2	3	3	1	1	2	0	0	25.1	25.1	25.1	22.372	211	211	1	14	0	19.817	By matching	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching			17.1	19	25.1	25.1	6.2	6.2	14.2	0	0	2019100	99128	124660	316410	668420	276340	228530	305570	0	0	197500	285140	327020	1219500	0	0	256090	0	0	0	1	0	3	0	0	0	0	0	4				16	1563;2072;2985	True;True;True	1666;2212;3214	11045;11046;11047;11048;14695;14696;14697;14698;21439;21440;21441;21442;21443;21444	3934;3935;5234;7619	3935;5234;7619		
g10110.t1	g10110.t1	2	2	2		1	2	2	2	2	2	2	2	0	1	2	0	1	2	2	2	2	0	1	2	0	1	2	2	2	2	0	1	2	0	1	31.1	31.1	31.1	15.204	151	151	1	16	0	25.46	By MS/MS	By MS/MS	By matching	By MS/MS		By matching	By MS/MS		By MS/MS	31.1	31.1	31.1	31.1	0	15.2	31.1	0	15.2	10656000	1356700	2549200	1290500	2841300	0	309890	1812600	0	495310	1211500	4044500	3102400	4984100	0	0	1316200	0	0	2	2	0	1	0	0	1	0	1	7				17	2415;2785	True;True	2614;3002	17423;17424;17425;17426;17427;17428;17429;20033;20034;20035;20036;20037;20038;20039;20040;20041	6153;6154;6155;6156;7055;7056;7057	6155;7055		
g10119.t1;g10120.t1	g10119.t1	19;4	19;4	19;4		2	19	19	19	16	13	12	10	18	11	15	18	17	16	13	12	10	18	11	15	18	17	16	13	12	10	18	11	15	18	17	89.5	89.5	89.5	24.34	229	229;340	1	163	0	139.89	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	82.5	79	42.4	37.1	84.7	64.6	83.4	89.1	75.1	601110000	34000000	27444000	11179000	67924000	82585000	122520000	99924000	85389000	70144000	33732000	63786000	43824000	105090000	65473000	62424000	69094000	42198000	69472000	8	6	5	6	6	6	8	5	8	58				18	507;574;575;607;694;828;1263;1558;1692;1747;1959;2154;2570;2571;2776;2893;3180;3377;3562	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	535;607;608;642;733;876;1340;1659;1808;1865;2092;2298;2780;2781;2992;3116;3423;3631;3832	3471;3472;3473;3474;3475;3476;3477;3478;3479;3936;3937;3938;3939;3940;3941;3942;3943;3944;3945;3946;3947;3948;3949;3950;3951;3952;4179;4180;4181;4182;4183;4184;4185;4186;4187;4188;4189;4190;4191;4814;4815;4816;4817;4818;4819;4820;4821;4822;4823;5800;5801;5802;5803;5804;5805;5806;5807;5808;5809;5810;5811;5812;5813;8948;8949;8950;8951;8952;8953;8954;11003;11004;11005;11006;11007;11008;12097;12098;12099;12100;12101;12462;12463;12464;13873;13874;13875;13876;15293;15294;18550;18551;18552;18553;18554;18555;18556;18557;18558;18559;18560;18561;18562;19965;19966;19967;19968;19969;19970;19971;20780;20781;20782;20783;20784;20785;20786;20787;22830;22831;22832;22833;22834;22835;22836;22837;22838;22839;22840;22841;22842;22843;22844;22845;22846;22847;24247;24248;24249;24250;24251;24252;24253;24254;24255;24256;24257;25623;25624;25625;25626;25627;25628;25629;25630;25631;25632;25633;25634;25635;25636;25637;25638	1250;1251;1252;1253;1254;1255;1256;1420;1421;1422;1423;1497;1498;1499;1500;1501;1502;1503;1504;1710;1711;1712;1713;2086;2087;2088;3211;3212;3920;3921;3922;3923;4311;4312;4313;4314;4432;4953;5445;6530;6531;6532;7025;7026;7373;7374;7375;7376;8099;8100;8101;8645;8646;8647;9134;9135;9136;9137;9138;9139;9140;9141;9142	1255;1420;1422;1497;1711;2086;3212;3922;4312;4432;4953;5445;6530;6531;7025;7373;8099;8647;9136		
g10131.t1	g10131.t1	8	8	8		1	8	8	8	7	7	8	7	5	7	7	6	7	7	7	8	7	5	7	7	6	7	7	7	8	7	5	7	7	6	7	24.9	24.9	24.9	61.754	603	603	1	81	0	111.84	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	22.6	22.6	24.9	22.7	17.4	24.9	22.6	16.7	23.1	133320000	20323000	26101000	7634700	13716000	9605400	5613500	19202000	16324000	14796000	21335000	53333000	25921000	14449000	5581100	1577500	10786000	9283000	17769000	4	6	6	6	0	1	4	3	3	33				19	366;387;1185;2071;2468;2696;2804;2819	True;True;True;True;True;True;True;True	388;409;1253;2211;2670;2909;3025;3040	2523;2524;2525;2526;2527;2528;2529;2530;2531;2532;2533;2534;2535;2536;2669;2670;2671;2672;2673;2674;2675;2676;2677;8306;8307;8308;8309;8310;8311;8312;8313;8314;8315;8316;8317;8318;8319;8320;8321;8322;8323;14688;14689;14690;14691;14692;14693;14694;17825;17826;17827;17828;17829;17830;17831;17832;17833;17834;17835;17836;17837;17838;19400;19401;19402;19403;19404;19405;19406;20172;20173;20174;20175;20176;20262;20263;20264;20265;20266;20267;20268	921;922;923;924;925;968;969;970;971;972;2968;2969;2970;2971;2972;2973;2974;5232;5233;6308;6309;6310;6311;6312;6819;6820;6821;6822;6823;7118;7119;7120;7121;7157;7158	922;971;2972;5233;6309;6822;7120;7158		
g10132.t1	g10132.t1	2	1	1		1	2	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	6.5	3.3	3.3	38.849	369	369	1	3	0	6.7581	By matching	By MS/MS	By matching	By matching			By matching	By matching	By matching	3.3	3.3	3.3	3.3	0	0	3.3	3.3	3.3	1197700	0	968830	201320	27529	0	0	0	0	0	0	0	0	39634	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1				20	2698;2699	False;True	2911;2912	19413;19414;19415;19416;19417;19418;19419	6825;6826;6827;6828	6825;6828		
g10139.t1	g10139.t1	2	2	2		1	2	2	2	2	2	1	0	1	0	1	0	0	2	2	1	0	1	0	1	0	0	2	2	1	0	1	0	1	0	0	17.6	17.6	17.6	19.581	188	188	1	7	0	112.02	By MS/MS	By MS/MS	By matching		By matching		By MS/MS			17.6	17.6	9	0	9	0	9	0	0	3410700	632720	718080	625890	0	780420	0	653540	0	0	0	1348500	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	4				21	210;3401	True;True	217;3656	1393;1394;1395;1396;1397;24422;24423	538;539;540;8700;8701	538;8700		
g10194.t1	g10194.t1	2	2	2		1	2	2	2	1	1	0	2	1	2	1	2	1	1	1	0	2	1	2	1	2	1	1	1	0	2	1	2	1	2	1	16	16	16	18.299	175	175	1	11	0	12.336	By MS/MS	By matching		By matching	By matching	By matching	By MS/MS	By matching	By matching	9.1	9.1	0	16	6.9	16	6.9	16	9.1	4832000	94483	49306	0	654510	857740	890620	909820	1214300	161270	0	0	0	0	0	0	0	728380	0	1	0	0	0	0	0	1	0	0	2				22	495;3628	True;True	522;3900	3385;3386;3387;3388;3389;26061;26062;26063;26064;26065;26066	1216;9316	1216;9316		
g10208.t1	g10208.t1	5	5	5		1	5	5	5	3	3	4	2	4	4	4	4	3	3	3	4	2	4	4	4	4	3	3	3	4	2	4	4	4	4	3	21.9	21.9	21.9	21.647	201	201	1	36	0	53.289	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	19.9	15.4	19.9	12.9	21.9	21.9	21.9	21.9	19.9	47217000	5105400	3364900	3827400	2536300	7970200	3403800	5301800	10049000	5658500	5278800	6378100	7555800	8283500	5557800	4033200	4043700	3592900	4748500	0	2	2	1	0	0	1	2	0	8				23	1496;1530;1687;3029;3084	True;True;True;True;True	1591;1630;1803;3261;3322	10571;10572;10573;10574;10575;10576;10577;10578;10579;10825;10826;10827;10828;10829;12053;12054;12055;12056;12057;12058;12059;12060;12061;12062;12063;12064;12065;21747;21748;21749;21750;21751;21752;21753;21754;22190	3776;3777;3778;3858;3859;4301;4302;7721;7870	3776;3858;4301;7721;7870		
g10244.t1	g10244.t1	3	3	3		1	3	3	3	3	2	2	2	1	1	2	1	2	3	2	2	2	1	1	2	1	2	3	2	2	2	1	1	2	1	2	5.5	5.5	5.5	92.219	941	941	1	16	0	19.381	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	5.5	3.6	3.6	3.6	2.1	2.1	4	1.5	4	2417500	444870	371040	462810	329390	115580	106820	152590	327070	107280	0	1098400	589040	625130	0	0	0	0	0	1	1	1	1	0	0	0	1	0	5				24	371;2201;2905	True;True;True	393;2352;3129	2560;2561;2562;2563;2564;15651;15652;15653;15654;15655;15656;15657;15658;20844;20845;20846	935;936;937;5555;7399	936;5555;7399		
g10246.t1	g10246.t1	19	19	19		1	19	19	19	14	12	10	11	12	15	18	15	13	14	12	10	11	12	15	18	15	13	14	12	10	11	12	15	18	15	13	59.5	59.5	59.5	40.954	378	378	1	159	0	238.73	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	52.6	45.2	29.9	31.2	45.8	52.6	59.5	55.6	43.9	406150000	43446000	9612400	11204000	21688000	33890000	90879000	102270000	84734000	8426500	48205000	19978000	29525000	37595000	30007000	45270000	58904000	49061000	9039600	12	1	3	9	3	2	12	8	2	52				25	256;312;356;582;1128;1204;1205;1249;1714;1853;2610;2627;2727;2873;2909;3039;3150;3617;3670	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	267;325;378;615;1195;1273;1274;1326;1830;1831;1977;2821;2838;2942;3096;3133;3271;3272;3391;3888;3944	1699;1700;1701;1702;1703;1704;1705;1706;1707;1708;1709;1710;1711;1712;1713;1714;1715;2138;2139;2140;2141;2142;2143;2144;2145;2146;2442;2443;2444;2445;2446;2447;2448;2449;3998;3999;4000;4001;4002;4003;4004;4005;4006;7914;7915;7916;7917;8480;8481;8482;8483;8484;8485;8486;8487;8840;8841;8842;8843;8844;8845;8846;8847;8848;8849;12234;12235;12236;12237;12238;12239;12240;12241;12242;12243;12244;12245;12246;12247;13111;13112;13113;13114;13115;18852;18853;18854;18855;18856;18857;18957;18958;19603;19604;19605;19606;19607;19608;19609;19610;20668;20669;20670;20865;20866;20867;20868;20869;20870;20871;20872;20873;20874;20875;20876;20877;20878;20879;20880;20881;20882;21804;21805;21806;21807;21808;21809;21810;21811;21812;21813;21814;21815;21816;21817;21818;22615;22616;22617;22618;22619;22620;22621;22622;25983;25984;25985;25986;25987;25988;25989;25990;25991;25992;26351;26352;26353;26354;26355	658;659;660;788;897;898;899;900;1433;1434;1435;2804;3037;3038;3039;3040;3041;3042;3043;3180;3181;3182;4351;4352;4353;4354;4355;4356;4653;4654;4655;4656;4657;6623;6624;6625;6662;6900;6901;7332;7333;7334;7335;7403;7404;7405;7406;7407;7408;7742;7743;8022;8023;9285;9286;9287;9417	660;788;899;1433;2804;3037;3043;3180;4356;4653;6624;6662;6900;7334;7407;7743;8023;9285;9417	14;15	112;225
g10261.t1	g10261.t1	9	6	6		1	9	6	6	9	3	2	7	9	8	7	7	7	6	0	1	4	6	5	5	5	5	6	0	1	4	6	5	5	5	5	15.4	11.4	11.4	72.573	664	664	1	37	0	39.02	By MS/MS	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	15.4	3.9	3.8	11.1	15.4	12.7	12.8	11.3	12.8	15983000	1146300	0	90146	845540	3012100	3188900	3032400	3944200	723510	855590	0	0	1347200	1405500	1878300	2244200	3205600	1044800	1	0	0	2	0	1	2	3	1	10				26	1417;1542;1543;1581;1651;2085;2292;2334;3255	True;False;False;True;False;True;True;True;True	1511;1643;1644;1685;1761;2225;2478;2525;3503	10045;10046;10047;10048;10049;10050;10051;10896;10897;10898;10899;10900;10901;10902;10903;10904;10905;10906;10907;10908;10909;10910;10911;10912;10913;10914;10915;10916;10917;10918;10919;11169;11170;11171;11172;11173;11174;11175;11714;11715;11716;11717;11718;14793;14794;14795;14796;14797;14798;16495;16496;16497;16498;16499;16500;16836;16837;16838;16839;16840;16841;23383;23384;23385;23386;23387	3598;3599;3883;3884;3885;3886;3887;3888;3889;3890;3891;3892;3893;3894;3895;3977;4166;4167;5266;5267;5835;5966;5967;8328;8329	3599;3886;3893;3977;4166;5267;5835;5967;8328		
g10264.t1	g10264.t1	12	12	12		1	12	12	12	12	9	8	7	10	10	10	11	10	12	9	8	7	10	10	10	11	10	12	9	8	7	10	10	10	11	10	30.4	30.4	30.4	55.464	520	520	1	97	0	104.41	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	30.4	23.1	23.1	18.3	30.4	29.8	26.3	30.4	25	128810000	11644000	2617500	3359700	7870800	17036000	25349000	27418000	27263000	6249300	13381000	6474000	10245000	13859000	10734000	11742000	15700000	15419000	10058000	5	2	3	4	3	4	4	3	0	28				27	34;35;920;979;1329;1361;1416;1894;2644;2645;2996;3155	True;True;True;True;True;True;True;True;True;True;True;True	34;35;973;1036;1416;1451;1510;2021;2855;2856;3228;3396	193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;6451;6452;6453;6454;6455;6880;6881;6882;6883;6884;6885;6886;6887;6888;9433;9434;9435;9436;9437;9438;9439;9440;9441;9673;9674;9675;9676;9677;9678;9679;10036;10037;10038;10039;10040;10041;10042;10043;10044;13427;13428;13429;13430;13431;13432;13433;13434;19067;19068;19069;19070;19071;19072;19073;19074;19075;19076;19077;19078;19079;19080;19081;19082;19083;19084;21536;21537;21538;21539;21540;21541;21542;21543;22646;22647;22648;22649;22650;22651;22652;22653	62;63;64;65;66;2277;2432;2433;2434;3390;3391;3480;3596;3597;4781;4782;4783;4784;4785;6692;6693;6694;6695;6696;6697;6698;6699;7649;7650;8031	62;64;2277;2434;3391;3480;3596;4781;6692;6695;7650;8031		
g10294.t1	g10294.t1	6	6	6		1	6	6	6	6	6	3	2	4	5	4	4	2	6	6	3	2	4	5	4	4	2	6	6	3	2	4	5	4	4	2	24.7	24.7	24.7	43.065	393	393	1	36	0	37.66	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	24.7	24.7	8.7	4.3	15.8	20.4	17.8	15.8	9.7	11424000	1719300	1094800	141600	336830	578440	2471700	1935400	2843300	302990	889790	2432900	405820	0	577450	1113700	1604700	2066200	0	2	2	0	0	0	0	1	2	0	7				28	236;919;1865;2874;3015;3187	True;True;True;True;True;True	245;972;1989;3097;3247;3431	1558;1559;1560;1561;1562;1563;6442;6443;6444;6445;6446;6447;6448;6449;6450;13182;13183;13184;13185;13186;13187;13188;20671;20672;20673;21651;21652;21653;21654;21655;21656;21657;22897;22898;22899;22900	606;2276;4678;7336;7337;7693;8123	606;2276;4678;7336;7693;8123		
g10298.t1	g10298.t1	8	8	8		1	8	8	8	8	7	8	5	6	5	7	5	7	8	7	8	5	6	5	7	5	7	8	7	8	5	6	5	7	5	7	64.8	64.8	64.8	11.572	108	108	1	71	0	92.583	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	64.8	63	64.8	54.6	51.9	58.3	64.8	58.3	63	118970000	31015000	14265000	13406000	6427600	7458000	5704000	21126000	8234800	11333000	31959000	29861000	32785000	7588100	3816200	1929400	12361000	5041400	15287000	8	7	7	2	0	0	4	2	2	32				29	408;686;1313;1318;1384;2434;2714;3518	True;True;True;True;True;True;True;True	430;725;1400;1405;1475;1476;2634;2928;3784	2811;2812;2813;2814;2815;2816;2817;2818;2819;2820;4773;4774;4775;9329;9330;9331;9332;9333;9334;9335;9336;9337;9338;9365;9366;9367;9368;9369;9370;9822;9823;9824;9825;9826;9827;9828;9829;9830;9831;9832;9833;9834;9835;17545;17546;17547;17548;17549;17550;17551;17552;19505;19506;19507;19508;19509;19510;19511;19512;19513;19514;19515;19516;19517;19518;25307;25308;25309;25310;25311;25312	1022;1023;1024;1025;1026;1027;1028;1029;1030;1698;3363;3364;3365;3373;3527;3528;3529;3530;6199;6200;6201;6202;6203;6204;6205;6206;6207;6864;6865;6866;6867;9030;9031	1024;1698;3365;3373;3528;6205;6865;9030	16	67
g10304.t1	g10304.t1	8	8	8		1	8	8	8	6	2	3	2	4	6	7	6	7	6	2	3	2	4	6	7	6	7	6	2	3	2	4	6	7	6	7	34.7	34.7	34.7	37.387	343	343	1	44	0	54.918	By MS/MS	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	30.6	7.6	12	7.9	20.1	30.3	34.7	29.4	33.8	31798000	1815700	1062100	2287400	1237800	4149300	7337200	4982500	6383300	2543100	2706100	0	4492100	0	0	4750900	3179300	4420400	2676400	2	0	0	0	0	2	3	3	2	12				30	166;194;708;760;797;1440;1778;1946	True;True;True;True;True;True;True;True	170;200;748;803;843;1535;1898;2079	1099;1100;1101;1102;1103;1104;1105;1106;1107;1294;1295;1296;1297;1298;1299;1300;1301;4928;4929;4930;4931;5292;5293;5294;5295;5296;5565;5566;10189;10190;10191;10192;10193;12663;12664;12665;12666;12667;12668;13782;13783;13784;13785;13786	390;391;493;494;495;496;1746;1892;1998;3643;4495;4917	390;494;1746;1892;1998;3643;4495;4917		
g10342.t1	g10342.t1	4	4	4		1	4	4	4	0	0	1	2	2	2	1	2	1	0	0	1	2	2	2	1	2	1	0	0	1	2	2	2	1	2	1	17.4	17.4	17.4	30.582	282	282	1	11	0	23.541			By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	0	0	2.5	6.7	9.2	6.4	2.5	9.2	6.7	1960000	0	0	79549	406930	594790	572410	38918	193690	73728	0	0	0	0	0	0	0	116190	0	0	0	0	2	1	1	0	0	0	4				31	669;1072;1493;1887	True;True;True;True	707;1137;1588;2013	4648;7563;7564;7565;7566;7567;7568;10555;10556;10557;13367	1655;2681;3765;4756	1655;2681;3765;4756		
